"country","date","name","actual","consensus","previous","volatility"
"New Zealand","20140911 00:00:00","REINZ House Price Index (MoM)","","","-0.700  %","2"
"Australia","20140911 01:00:00","Consumer Inflation Expectation","","","3.100  %","2"
"China","20140911 01:30:00","Consumer Price Index (YoY)","","2.200  %","2.300  %","2"
"China","20140911 01:30:00","Consumer Price Index (MoM)","","0.400  %","0.100  %","2"
"Australia","20140911 01:30:00","Employment Change s.a.",""," 12,000.000 "," -300.000 ","2"
"Australia","20140911 01:30:00","Fulltime employment","",""," 14,500.000 ","2"
"Australia","20140911 01:30:00","Unemployment Rate s.a.","","6.300  %","6.400  %","2"
"China","20140911 01:30:00","Producer Price Index (YoY)","","-1.100  %","-0.900  %","2"
"China","20140911 02:00:00","New Loans",""," 700.000 "," 385.200 ","2"
"Germany","20140911 06:00:00","Consumer Price Index (YoY)","","0.800  %","0.800  %","2"
"Germany","20140911 06:00:00","Harmonised Index of Consumer Prices (YoY)","","0.800  %","0.800  %","2"
"France","20140911 06:45:00","Inflation ex-tobacco (MoM)","","","-0.300  %","2"
"European Monetary Union","20140911 08:00:00","ECB Monthly Report","","","","2"
"United Kingdom","20140911 10:30:00","30-y Bond Auction","","","3.530  %","1"
"United States","20140911 12:30:00","Initial Jobless Claims",""," 300.000 "," 302.000 ","2"
"United States","20140911 12:30:00","Continuing Jobless Claims",""," 2.480 "," 2.464 ","2"
"Canada","20140911 12:30:00","New Housing Price Index (YoY)","","","1.500  %","2"
"Canada","20140911 12:30:00","New Housing Price Index (MoM)","","0.200  %","0.200  %","1"
"Mexico","20140911 13:00:00","Industrial Output (MoM)","","","-0.200  %","1"
"Mexico","20140911 13:00:00","Industrial Output (YoY)","","","2.000  %","1"
"United States","20140911 14:30:00","EIA Natural Gas Storage change","",""," 79.000 ","1"
"United States","20140911 17:00:00","30-Year Bond Auction","","","3.224  %","1"
"United States","20140911 18:00:00","Monthly Budget Statement","","$ -130.000 ","$ -95.000 ","2"
"European Monetary Union","20140911 19:00:00","ECB President Draghi's Speech","","","","3"
"Chile","20140911 22:00:00","BCCH Interest Rate","","","3.500  %","1"
"New Zealand","20140911 22:30:00","Business NZ PMI","",""," 53.000 ","2"
"New Zealand","20140911 22:45:00","Food Price Index (MoM)","","","-0.700  %","1"
