"country","date","name","actual","consensus","previous","volatility"
"Australia","20150908 01:30:00","National Australia Bank's Business Conditions","","","","1"
"Australia","20150908 01:30:00","National Australia Bank's Business Confidence","","","","1"
"China","20150908 02:00:00","Exports (YoY)","","","","2"
"China","20150908 02:00:00","Trade Balance","","","","2"
"China","20150908 02:00:00","Imports (YoY)","","","","2"
"Japan","20150908 05:00:00","Eco Watchers Survey: Current","","","","2"
"Japan","20150908 05:00:00","Eco Watchers Survey: Outlook","","","","2"
"Switzerland","20150908 05:45:00","Unemployment Rate s.a (MoM)","","","","3"
"Germany","20150908 06:00:00","Imports (MoM)","","","","2"
"Germany","20150908 06:00:00","Current Account n.s.a.","","","","2"
"Germany","20150908 06:00:00","Trade Balance s.a.","","","","2"
"Germany","20150908 06:00:00","Exports (MoM)","","","","2"
" EUR"","20150908 06:45:00",""Exports","","","","France"
"France","20150908 06:45:00","Budget","","","","1"
"France","20150908 06:45:00","Trade Balance EUR","","","","1"
" EUR"","20150908 06:45:00",""Imports","","","","France"
"United Kingdom","20150908 07:00:00","Halifax House Prices (MoM)","","","","1"
"United Kingdom","20150908 07:00:00","Halifax House Prices (3m/YoY)","","","","1"
"United Kingdom","20150908 09:00:00","30-y Bond Auction","","","","1"
"European Monetary Union","20150908 09:00:00","Gross Domestic Product s.a. (QoQ)","","","","3"
"European Monetary Union","20150908 09:00:00","Gross Domestic Product s.a. (YoY)","","","","3"
"United States","20150908 10:00:00","NFIB Business Optimism Index","","","","1"
"India","20150908 11:30:00","Current Account Balance $","","","","1"
"India","20150908 11:30:00","Trade Deficit - RBI","","","","1"
"India","20150908 11:30:00","Balance Payment $","","","","1"
"United States","20150908 14:00:00","Labor Market Conditions Index","","","","2"
"United States","20150908 15:30:00","3-Month Bill Auction","","","","1"
"United States","20150908 15:30:00","6-Month Bill Auction","","","","1"
"United States","20150908 17:00:00","3-Year Note Auction","","","","1"
"United States","20150908 19:00:00","Consumer Credit Change","","","","2"
"Japan","20150908 23:50:00","Money Supply M2+CD (YoY)","","","","0"
