"country","date","name","actual","consensus","previous","volatility"
"China","20130909 01:30:00","Consumer Price Index (MoM)","","0.400  %","0.100  %","2"
"China","20130909 01:30:00","Producer Price Index (YoY)","","-1.800  %","-2.300  %","2"
"Australia","20130909 01:30:00","Home Loans","","","2.700  %","2"
"Japan","20130909 05:00:00","Consumer Confidence Index","",""," 43.600 ","2"
"Switzerland","20130909 05:45:00","Unemployment Rate s.a (MoM)","","3.200  %","3.200  %","2"
"Japan","20130909 06:00:00","Eco Watchers Survey: Outlook","",""," 53.600 ","2"
"Switzerland","20130909 07:15:00","Real Retail Sales (YoY)","","","2.300  %","2"
"European Monetary Union","20130909 08:30:00","Sentix Investor Confidence",""," -2.900 "," -4.900 ","2"
"Canada","20130909 12:30:00","Building Permits (MoM)","","","-10.300  %","2"
"Chile","20130909 12:30:00","Trade Balance","","","$ -254.000 ","1"
"Mexico","20130909 13:00:00","12-Month Inflation","","","3.470  %","1"
"Mexico","20130909 13:00:00","Core Inflation","","","0.030  %","1"
"Mexico","20130909 13:00:00","Headline Inflation","","","-0.030  %","1"
"Hungary","20130909 14:00:00","Budget Balance","",""," -129.500 ","1"
"United States","20130909 15:00:00","FOMC Member Williams speech","","","","1"
"United States","20130909 19:00:00","Consumer Credit Change","","$ 12.150 ","$ 13.800 ","2"
"New Zealand","20130909 22:45:00","Electronic Card Retail Sales (YoY)","","","7.700  %","2"
"New Zealand","20130909 22:45:00","Electronic Card Retail Sales  (MoM)","","","0.400  %","2"
"United Kingdom","20130909 23:01:00","RICS Housing Price Balance","","40.000  %","36.000  %","2"
"Japan","20130909 23:50:00","BoJ Monetary Policy Meeting Minutes","","","","2"
"Japan","20130909 23:50:00","Money Supply M2+CD (YoY)","","3.700  %","3.700  %","1"
"Japan","20130909 23:50:00","Tertiary Industry Index (MoM)","","-0.500  %","-0.300  %","2"
