"country","date","name","actual","consensus","previous","volatility"
"Japan","20121120 00:00:00","BoJ Interest Rate Decision","","0.100  %","0.100  %","2"
"Australia","20121120 00:30:00","RBA Meeting's Minutes","","","","2"
"Japan","20121120 01:00:00","BoJ Monetary Policy Statement and press conference","","","","2"
"Japan","20121120 04:30:00","All Industry Activity Index (MoM)","","-0.400  %","0.100  %","2"
"Germany","20121120 07:00:00","Producer Price Index (YoY)","","1.700  %","1.700  %","2"
"Germany","20121120 07:00:00","Producer Price Index (MoM)","","0.100  %","0.300  %","2"
"Australia","20121120 07:00:00","RBA's Governor Glenn Stevens Speech","","","","2"
"Switzerland","20121120 07:00:00","Trade Balance",""," 2.344 "," 2.015 ","2"
"European Monetary Union","20121120 10:00:00","EcoFin Meeting","","","","2"
"Turkey","20121120 12:00:00","TCMB Interest Rate Decision","","","5.750  %","1"
"Poland","20121120 13:00:00","Industrial Output (YoY)","","","-5.200  %","1"
"Poland","20121120 13:00:00","Producer Price Index (YoY)","","","1.800  %","1"
"United States","20121120 13:30:00","Building Permits (MoM)","",""," 0.894 ","2"
"United States","20121120 13:30:00","Housing Starts (MoM)",""," 0.840 "," 0.872 ","2"
"Canada","20121120 13:30:00","Wholesale Sales (MoM)","","0.500  %","0.500  %","1"
"United States","20121120 13:55:00","Redbook index (YoY)","","","1.600  %","1"
"United States","20121120 13:55:00","Redbook index (MoM)","","","-0.200  %","1"
"Belgium","20121120 14:00:00","Consumer Confidence Index","",""," -17.000 ","1"
"United States","20121120 14:00:00","Fed's Lacker speech","","","","1"
"United States","20121120 17:15:00","Fed's Bernanke Speech","","","","2"
"Colombia","20121120 19:00:00","Industrial ouput (YoY)","","","","1"
"Colombia","20121120 19:00:00","Retail Sales (YoY)","","","","1"
"Australia","20121120 23:30:00","Westpac Leading Index (MoM)","","","0.500  %","1"
"Japan","20121120 23:50:00","Merchandise Trade Balance Total","","¥ -360.000 ","¥ -558.600 ","2"
"Japan","20121120 23:50:00","Adjusted Merchandise Trade Balance","","","¥ -980.274 ","1"
"Japan","20121120 23:50:00","Exports (YoY)","","-4.900  %","-10.300  %","1"
"Japan","20121120 23:50:00","Imports (YoY)","","-3.200  %","4.100  %","1"
