"country","date","name","actual","consensus","previous","volatility"
"Australia","20141127 00:00:00","HIA New Home Sales (MoM)","3.000  %","","0.000  %","2"
"Germany","20141127 08:55:00","Unemployment Change",""," -4.000 "," -22.000 ","2"
"Germany","20141127 08:55:00","Unemployment Rate s.a.","","6.700  %","6.700  %","2"
"European Monetary Union","20141127 10:00:00","Consumer Confidence",""," -11.600 "," -11.100 ","2"
"Germany","20141127 12:00:00","Gfk Consumer Confidence Survey",""," 8.600 "," 8.500 ","2"
"Germany","20141127 13:00:00","Consumer Price Index (YoY)","","0.600  %","0.800  %","3"
"Germany","20141127 13:00:00","Consumer Price Index (MoM)","","0.100  %","-0.300  %","2"
"Germany","20141127 13:00:00","Harmonised Index of Consumer Prices (MoM)","","0.100  %","-0.300  %","2"
"Germany","20141127 13:00:00","Harmonised Index of Consumer Prices (YoY)","","0.600  %","0.700  %","3"
"Canada","20141127 13:30:00","Current Account",""," -11.100 "," -11.870 ","1"
"South Korea","20141127 21:00:00","BOK Manufacturing BSI","",""," 76.000 ","1"
"New Zealand","20141127 21:45:00","Building Permits s.a. (MoM)","","","-12.200  %","1"
"South Korea","20141127 23:00:00","Industrial Output (YoY)","","","1.900  %","1"
"South Korea","20141127 23:00:00","Industrial Output Growth","","","0.100  %","1"
"South Korea","20141127 23:00:00","Service Sector Output","","","0.100  %","1"
"Japan","20141127 23:30:00","National Consumer Price Index (YoY)","","","3.200  %","3"
"Japan","20141127 23:30:00","National CPI Ex Food, Energy (YoY)","","","2.300  %","2"
"Japan","20141127 23:30:00","National CPI Ex-Fresh Food (YoY)","","2.900  %","3.000  %","2"
"Japan","20141127 23:30:00","Tokyo Consumer Price Index (YoY)","","","2.500  %","1"
"Japan","20141127 23:30:00","Tokyo CPI ex Food, Energy (YoY)","","","2.100  %","1"
"Japan","20141127 23:30:00","Tokyo CPI ex Fresh Food (YoY)","","2.500  %","2.500  %","1"
"Japan","20141127 23:30:00","Overall Household Spending (YoY)","","-5.100  %","-5.600  %","2"
"Japan","20141127 23:30:00","Unemployment Rate","","3.600  %","3.600  %","2"
"Japan","20141127 23:30:00","Jobs/applicants ratio",""," 1.090 "," 1.090 ","2"
"Japan","20141127 23:50:00","Foreign bond investment","","","¥ 212.500 ","2"
"Japan","20141127 23:50:00","Foreign investment in Japan stocks","","","¥ 909.800 ","2"
"Japan","20141127 23:50:00","Industrial Production (YoY)","","","0.800  %","2"
"Japan","20141127 23:50:00","Industrial Production (MoM)","","-0.600  %","2.900  %","1"
"Japan","20141127 23:50:00","Retail Trade (YoY)","","1.200  %","2.300  %","2"
"Japan","20141127 23:50:00","Large Retailer's Sales","","","0.500  %","2"
"Japan","20141127 23:50:00","Retail Trade s.a (MoM)","","","2.700  %","1"
