"country","date","name","actual","consensus","previous","volatility"
"Australia","20170816 00:30:00","Westpac Leading Index (MoM)","","","","1"
"Australia","20170816 01:30:00","Wage Price Index (YoY)","","","","1"
"Australia","20170816 01:30:00","Wage Price Index (QoQ)","","","","1"
"China","20170816 02:00:00","FDI - Foreign Direct Investment (YTD) (YoY)","","","","2"
"Italy","20170816 08:00:00","Gross Domestic Product (YoY)","","","","1"
"Italy","20170816 08:00:00","Gross Domestic Product (QoQ)","","","","1"
"United Kingdom","20170816 08:30:00","Average Earnings excluding Bonus (3Mo/Yr)","","","","1"
"United Kingdom","20170816 08:30:00","Claimant Count Change","","","","2"
"United Kingdom","20170816 08:30:00","Average Earnings including Bonus (3Mo/Yr)","","","","1"
"United Kingdom","20170816 08:30:00","ILO Unemployment Rate (3M)","","","","2"
"United Kingdom","20170816 08:30:00","Claimant Count Rate","","","","1"
"European Monetary Union","20170816 09:00:00","Gross Domestic Product s.a. (YoY)","","","","3"
"European Monetary Union","20170816 09:00:00","Gross Domestic Product s.a. (QoQ)","","","","3"
"Spain","20170816 09:30:00","12-Month Letras Auction","","","","1"
"Spain","20170816 09:30:00","6-Month Letras Auction","","","","1"
"United States","20170816 11:00:00","MBA Mortgage Applications","","","","1"
"India","20170816 11:30:00","M3 Money Supply","","","","1"
"United States","20170816 12:30:00","Housing Starts (MoM)","","","","2"
"United States","20170816 12:30:00","Building Permits (MoM)","","","","2"
"United States","20170816 12:30:00","Building Permits Change","","","","2"
"United States","20170816 12:30:00","Housing Starts Change","","","","2"
"Canada","20170816 12:30:00","Canadian portfolio investment in foreign securities","","","","1"
"Canada","20170816 12:30:00","Foreign portfolio investment in Canadian securities","","","","1"
"United States","20170816 14:30:00","EIA Crude Oil Stocks change","","","","1"
"United States","20170816 18:00:00","FOMC Minutes","","","","3"
"New Zealand","20170816 22:45:00","Producer Price Index - Output (QoQ)","","","","1"
"New Zealand","20170816 22:45:00","Producer Price Index - Input (QoQ)","","","","1"
"Japan","20170816 23:50:00","Exports (YoY)","","","","2"
"Japan","20170816 23:50:00","Imports (YoY)","","","","2"
"Japan","20170816 23:50:00","Merchandise Trade Balance Total","","","","2"
"Japan","20170816 23:50:00","Adjusted Merchandise Trade Balance","","","","2"
"Japan","20170816 23:50:00","Foreign bond investment","","","","2"
"Japan","20170816 23:50:00","Foreign investment in Japan stocks","","","","2"
