"country","date","name","actual","consensus","previous","volatility"
"European Monetary Union","20160422 00:00:00","EcoFin Meeting","","","","2"
"Japan","20160422 01:00:00","Nikkei Manufacturing PMI","","","","1"
"China","20160422 01:45:00","MNI Business Sentiment Indicator","","","","1"
"Japan","20160422 04:30:00","Tertiary Industry Index (MoM)","","","","2"
"France","20160422 07:00:00","Markit Services PMI","","","","1"
"France","20160422 07:00:00","Markit PMI Composite","","","","1"
"France","20160422 07:00:00","Markit Manufacturing PMI","","","","1"
"Germany","20160422 07:30:00","Markit PMI Composite","","","","2"
"Germany","20160422 07:30:00","Markit Services PMI","","","","2"
"Germany","20160422 07:30:00","Markit Manufacturing PMI","","","","2"
"Italy","20160422 08:00:00","Industrial Sales s.a. (MoM)","","","","1"
"Italy","20160422 08:00:00","Industrial Sales n.s.a. (YoY)","","","","1"
"Italy","20160422 08:00:00","Industrial Orders s.a (MoM)","","","","1"
"Italy","20160422 08:00:00","Industrial Orders n.s.a (YoY)","","","","1"
"European Monetary Union","20160422 08:00:00","Markit PMI Composite","","","","2"
"European Monetary Union","20160422 08:00:00","Markit Manufacturing PMI","","","","2"
"European Monetary Union","20160422 08:00:00","Markit Services PMI","","","","2"
"Italy","20160422 09:00:00","Retail Sales s.a. (MoM)","","","","1"
"Italy","20160422 09:00:00","Retail Sales n.s.a (YoY)","","","","1"
" USD"","20160422 11:30:00",""FX Reserves","","","","India"
"European Monetary Union","20160422 12:00:00","Eurogroup meeting","","","","2"
"European Monetary Union","20160422 12:00:00","EcoFin Meeting","","","","2"
"Canada","20160422 12:30:00","Retail Sales (MoM)","","","","1"
"Canada","20160422 12:30:00","Retail Sales ex Autos (MoM)","","","","1"
"Canada","20160422 13:30:00","Consumer Price Index - Core (MoM)","","","","3"
"Canada","20160422 13:30:00","Consumer Price Index (YoY)","","","","3"
"Canada","20160422 13:30:00","Bank of Canada Consumer Price Index Core (MoM)","","","","3"
"Canada","20160422 13:30:00","Bank of Canada Consumer Price Index Core (YoY)","","","","3"
"Canada","20160422 13:30:00","Consumer Price Index (MoM)","","","","3"
"United States","20160422 13:45:00","Markit Manufacturing PMI","","","","2"
"United States","20160422 17:00:00","Baker Hughes US Oil Rig Count","","","","2"
