"country","date","name","actual","consensus","previous","volatility"
"Australia","20170914 01:00:00","Consumer Inflation Expectation","","","","2"
"Australia","20170914 01:30:00","Unemployment Rate s.a.","","","","3"
"Australia","20170914 01:30:00","Participation Rate","","","","2"
"Australia","20170914 01:30:00","Employment Change s.a.","","","","3"
"Australia","20170914 01:30:00","Part-time employment","","","","1"
"Australia","20170914 01:30:00","Fulltime employment","","","","1"
"China","20170914 02:00:00","M2 Money Supply (YoY)","","","","1"
"China","20170914 02:00:00","Retail Sales (YoY)","","","","2"
"China","20170914 02:00:00","Industrial Production (YoY)","","","","2"
"China","20170914 02:00:00","Urban investment (YTD) (YoY)","","","","1"
"China","20170914 02:00:00","New Loans","","","","1"
"China","20170914 02:00:00","FDI - Foreign Direct Investment (YTD) (YoY)","","","","2"
"Japan","20170914 04:30:00","Industrial Production (MoM)","","","","1"
"Japan","20170914 04:30:00","Industrial Production (YoY)","","","","1"
"Japan","20170914 04:30:00","Capacity Utilization","","","","1"
"India","20170914 06:00:00","WPI Inflation","","","","1"
"France","20170914 06:45:00","Consumer Price Index (EU norm) (YoY)","","","","2"
"France","20170914 06:45:00","Inflation ex-tobacco (MoM)","","","","1"
"France","20170914 06:45:00","Consumer Price Index (EU norm) (MoM)","","","","1"
"Switzerland","20170914 07:30:00","SNB Interest Rate Decision","","","","3"
"Italy","20170914 08:00:00","Consumer Price Index (YoY)","","","","1"
"Italy","20170914 08:00:00","Consumer Price Index (EU Norm) (MoM)","","","","1"
"Italy","20170914 08:00:00","Consumer Price Index (MoM)","","","","1"
"Italy","20170914 08:00:00","Consumer Price Index (EU Norm) (YoY)","","","","1"
"Greece","20170914 09:00:00","Unemployment Rate (QoQ)","","","","1"
"United Kingdom","20170914 11:00:00","BoE Asset Purchase Facility","","","","3"
"European Monetary Union","20170914 11:00:00","BoE Asset Purchase Facility","","","","2"
"United Kingdom","20170914 11:00:00","BoE Interest Rate Decision","","","","3"
"European Monetary Union","20170914 11:00:00","BoE Interest Rate Decision","","","","2"
"United Kingdom","20170914 11:00:00","Monetary Policy Summary","","","","3"
"European Monetary Union","20170914 11:00:00","Monetary Policy Summary","","","","2"
"United Kingdom","20170914 11:00:00","BOE MPC Vote Cut","","","","3"
"European Monetary Union","20170914 11:00:00","BOE MPC Vote Cut","","","","2"
"United Kingdom","20170914 11:00:00","BOE MPC Vote Unchanged","","","","3"
"European Monetary Union","20170914 11:00:00","BOE MPC Vote Unchanged","","","","2"
"United Kingdom","20170914 11:00:00","BOE MPC Vote Hike","","","","3"
"European Monetary Union","20170914 11:00:00","BOE MPC Vote Hike","","","","2"
"United Kingdom","20170914 11:00:00","Bank of England Minutes","","","","3"
"European Monetary Union","20170914 11:00:00","Bank of England Minutes","","","","2"
"India","20170914 11:00:00","Trade Deficit Government","","","","1"
"Russia","20170914 12:00:00","Budget Fulfilment","","","","1"
"United States","20170914 12:30:00","Continuing Jobless Claims","","","","2"
"United States","20170914 12:30:00","Initial Jobless Claims","","","","2"
"United States","20170914 12:30:00","Consumer Price Index Ex Food & Energy (YoY)","","","","3"
"United States","20170914 12:30:00","Consumer Price Index (YoY)","","","","3"
"United States","20170914 12:30:00","Consumer Price Index Ex Food & Energy (MoM)","","","","2"
"United States","20170914 12:30:00","Consumer Price Index n.s.a (MoM)","","","","1"
"United States","20170914 12:30:00","Consumer Price Index (MoM)","","","","2"
"United States","20170914 12:30:00","Consumer Price Index Core s.a","","","","1"
"Canada","20170914 12:30:00","New Housing Price Index (MoM)","","","","1"
"Canada","20170914 12:30:00","New Housing Price Index (YoY)","","","","1"
"Russia","20170914 13:00:00","Central Bank Reserves $","","","","1"
"United States","20170914 14:30:00","EIA Natural Gas Storage change","","","","1"
"Germany","20170914 15:30:00","German Buba President Weidmann speech","","","","2"
"New Zealand","20170914 22:30:00","Business NZ PMI","","","","2"
