"country","date","name","actual","consensus","previous","volatility"
"India","20160415 00:00:00",""Ram Navami "","","","","0"
"European Monetary Union","20160415 00:00:00","IMF Meeting","","","","2"
"Australia","20160415 01:30:00","Financial Stability Review","","","","1"
"China","20160415 02:00:00","M2 Money Supply (YoY)","","","","1"
"China","20160415 02:00:00","Retail Sales (YoY)","","","","2"
"China","20160415 02:00:00","Industrial Production (YoY)","","","","2"
"China","20160415 02:00:00","NBS Press Conference","","","","2"
"China","20160415 02:00:00","Urban investment (YTD) (YoY)","","","","1"
"China","20160415 02:00:00","New Loans","","","","1"
"China","20160415 02:00:00","Gross Domestic Product (YoY)","","","","3"
"China","20160415 02:00:00","Gross Domestic Product (QoQ)","","","","3"
"China","20160415 02:00:00","FDI - Foreign Direct Investment (YTD) (YoY)","","","","2"
"Japan","20160415 04:30:00","Industrial Production (YoY)","","","","2"
"Japan","20160415 04:30:00","Industrial Production (MoM)","","","","2"
"Japan","20160415 04:30:00","Capacity Utilization","","","","1"
"Italy","20160415 08:00:00","Global Trade Balance","","","","1"
"Italy","20160415 08:00:00","Trade Balance EU","","","","1"
"European Monetary Union","20160415 09:00:00","Trade Balance n.s.a.","","","","2"
"European Monetary Union","20160415 09:00:00","Trade Balance s.a.","","","","2"
"India","20160415 11:30:00","Bank Loan Growth","","","","1"
" USD"","20160415 11:30:00",""FX Reserves","","","","India"
"United States","20160415 12:30:00","NY Empire State Manufacturing Index","","","","1"
"Canada","20160415 12:30:00","Manufacturing Shipments (MoM)","","","","1"
"United States","20160415 13:15:00","Industrial Production (MoM)","","","","2"
"United States","20160415 13:15:00","Capacity Utilization","","","","2"
"United States","20160415 14:00:00","Reuters/Michigan Consumer Sentiment Index","","","","1"
"United States","20160415 16:30:00","Fed's Evans Speech","","","","1"
"United States","20160415 17:00:00","Baker Hughes US Oil Rig Count","","","","2"
"United States","20160415 20:00:00","Net Long-Term TIC Flows","","","","1"
"United States","20160415 20:00:00","Total Net TIC Flows","","","","1"
