"country","date","name","actual","consensus","previous","volatility"
"China","20160809 01:30:00","Producer Price Index (YoY)","","","","2"
"China","20160809 01:30:00","Consumer Price Index (YoY)","","","","2"
"China","20160809 01:30:00","Consumer Price Index (MoM)","","","","2"
"Australia","20160809 01:30:00","National Australia Bank's Business Confidence","","","","1"
"Australia","20160809 01:30:00","National Australia Bank's Business Conditions","","","","1"
"Russia","20160809 02:00:00","Budget Fulfilment","","","","1"
"China","20160809 05:30:00","FDI - Foreign Direct Investment (YTD) (YoY)","","","","2"
"India","20160809 05:30:00","Cash Reserve Ratio","","","","1"
"India","20160809 05:30:00","Reverse Repo Rate","","","","1"
"Switzerland","20160809 05:45:00","Unemployment Rate s.a (MoM)","","","","2"
"Germany","20160809 06:00:00","Trade Balance s.a.","","","","2"
"Germany","20160809 06:00:00","Exports (MoM)","","","","2"
"Germany","20160809 06:00:00","Current Account n.s.a.","","","","2"
"Germany","20160809 06:00:00","Imports (MoM)","","","","2"
"Japan","20160809 06:00:00","Machine Tool Orders (YoY)","","","","1"
"France","20160809 06:45:00","Budget","","","","1"
"United Kingdom","20160809 08:30:00","Industrial Production (MoM)","","","","2"
"United Kingdom","20160809 08:30:00","Manufacturing Production (MoM)","","","","2"
"United Kingdom","20160809 08:30:00","Industrial Production (YoY)","","","","2"
"United Kingdom","20160809 08:30:00","Manufacturing Production (YoY)","","","","2"
"United Kingdom","20160809 08:30:00","Trade Balance; non-EU","","","","1"
"United Kingdom","20160809 08:30:00","Total Trade Balance","","","","1"
"United Kingdom","20160809 08:30:00","Goods Trade Balance","","","","1"
"Greece","20160809 09:00:00","Industrial Production (YoY)","","","","1"
"United Kingdom","20160809 09:30:00","30-y Bond Auction","","","","1"
"United States","20160809 10:00:00","NFIB Business Optimism Index","","","","1"
"Portugal","20160809 10:00:00","Global Trade Balance","","","","1"
"Brazil","20160809 12:00:00","Retail Sales (MoM)","","","","1"
"Mexico","20160809 12:00:00","Core Inflation","","","","1"
"Mexico","20160809 12:00:00","Headline Inflation","","","","1"
"Mexico","20160809 12:00:00","12-Month Inflation","","","","1"
"Canada","20160809 12:15:00","Housing Starts s.a (YoY)","","","","2"
"United States","20160809 12:30:00","Unit Labor Costs","","","","1"
"United States","20160809 12:30:00","Nonfarm Productivity","","","","1"
"United States","20160809 12:55:00","Redbook index (YoY)","","","","1"
"United States","20160809 12:55:00","Redbook index (MoM)","","","","1"
"United States","20160809 14:00:00","Wholesale Inventories","","","","1"
"United States","20160809 14:00:00","IBD/TIPP Economic Optimism (MoM)","","","","1"
"United Kingdom","20160809 14:00:00","NIESR GDP Estimate (3M)","","","","3"
"European Monetary Union","20160809 14:00:00","NIESR GDP Estimate (3M)","","","","2"
"United States","20160809 15:30:00","4-Week Bill Auction","","","","1"
"United States","20160809 17:00:00","3-Year Note Auction","","","","1"
"United States","20160809 20:30:00","API Weekly Crude Oil Stock","","","","1"
"Japan","20160809 23:50:00","Domestic Corporate Goods Price Index (MoM)","","","","1"
"Japan","20160809 23:50:00","Domestic Corporate Goods Price Index (YoY)","","","","1"
"Japan","20160809 23:50:00","Machinery Orders (MoM)","","","","1"
"Japan","20160809 23:50:00","Machinery Orders (YoY)","","","","1"
