"country","date","name","actual","consensus","previous","volatility"
"China","20140813 02:00:00","Industrial Production (YoY)","","9.000  %","9.200  %","2"
"China","20140813 02:00:00","M2 Money Supply (YoY)","","","14.700  %","2"
"China","20140813 02:00:00","New Loans","","","¥ 1,080.000 ","2"
"China","20140813 02:00:00","Retail Sales (YoY)","","12.400  %","12.400  %","2"
"China","20140813 02:00:00","Urban investment (YTD) (YoY)","","17.400  %","17.300  %","2"
"Germany","20140813 06:00:00","Consumer Price Index (YoY)","","0.800  %","1.000  %","2"
"Germany","20140813 06:00:00","Harmonised Index of Consumer Prices (YoY)","","0.800  %","1.000  %","2"
"France","20140813 06:45:00","Inflation ex-tobacco (MoM)","","","0.000  %","2"
"United Kingdom","20140813 08:30:00","Claimant Count Change",""," -30.000 "," -36.300 ","2"
"United Kingdom","20140813 08:30:00","Average Earnings excluding Bonus (3Mo/Yr)","","0.700  %","0.700  %","2"
"United Kingdom","20140813 08:30:00","Average Earnings including Bonus (3Mo/Yr)","","-0.100  %","0.300  %","2"
"United Kingdom","20140813 08:30:00","Claimant Count Rate","","","3.100  %","2"
"United Kingdom","20140813 08:30:00","ILO Unemployment Rate (3M)","","6.400  %","6.500  %","2"
"European Monetary Union","20140813 09:00:00","Industrial Production w.d.a. (YoY)","","0.100  %","0.500  %","2"
"Switzerland","20140813 09:00:00","ZEW Survey - Expectations",""," -1.000 "," 0.100 ","2"
"United Kingdom","20140813 09:30:00","Bank of England Quarterly Inflation Report","","","","2"
"European Monetary Union","20140813 09:30:00","Bank of England Quarterly Inflation Report","","","","2"
"United Kingdom","20140813 09:30:00","BOE's Governor Carney speech","","","","2"
"European Monetary Union","20140813 09:30:00","BOE's Governor Carney speech","","","","2"
"Germany","20140813 10:00:00","10-y Bond Auction","","","1.200  %","2"
"Poland","20140813 12:00:00","Consumer Price Index (MoM)","","","0.000  %","1"
"Poland","20140813 12:00:00","Consumer Price Index (YoY)","","","0.300  %","1"
"Poland","20140813 12:00:00","Current Account","","","€ 280.000 ","1"
"United States","20140813 12:30:00","Retail Sales (MoM)","","0.200  %","0.200  %","3"
"United States","20140813 12:30:00","Retail Sales ex Autos (MoM)","","0.400  %","0.400  %","2"
"United States","20140813 13:05:00","Fed's William Dudley speech","","","","1"
"United States","20140813 13:20:00","Federal Reserve Bank of Boston President Rosengren Speech","","","","1"
"United States","20140813 14:00:00","Business Inventories","","0.500  %","0.500  %","2"
"United States","20140813 14:30:00","EIA Crude Oil Stocks change","",""," -1.756 ","1"
"United States","20140813 17:00:00","10-Year Note Auction","","","2.597  %","1"
"New Zealand","20140813 22:30:00","Business NZ PMI","",""," 53.300 ","2"
"New Zealand","20140813 22:45:00","Retail Sales ex Autos (QoQ)","","","0.800  %","2"
"New Zealand","20140813 22:45:00","Retail Sales (QoQ)","","","0.700  %","1"
"United Kingdom","20140813 23:01:00","RICS Housing Price Balance","","51.000  %","53.000  %","1"
"Japan","20140813 23:50:00","Foreign bond investment","","","¥ 897.400 ","2"
"Japan","20140813 23:50:00","Foreign investment in Japan stocks","","","¥ 94.900 ","2"
"Japan","20140813 23:50:00","Machinery Orders (YoY)","","3.300  %","-14.300  %","2"
"Japan","20140813 23:50:00","Machinery Orders (MoM)","","15.300  %","-19.500  %","1"
